Analysis of start_t: '2011-05-01 13:37:01' to: '2011-05-01 13:47:57'
Rs1 has 218 results!
Rs2 has 218 results!
Rs3 has 218 results!
Rs4 has 218 results!
Data: [128.0, 0.453608247422681, 2766464.0, 62.0, 36.0]
Data: [146.0, 6.02243313201035, 2857136.0, 0.0, 0.0]
Data: [199.0, 7.084548104956269, 2842384.0, 3.0, 0.0]
Data: [190.0, 7.228195937873361, 3382556.0, 108.0, 0.0]
Data: [218.0, 8.96017699115044, 2984452.0, 3.0, 0.0]
Data: [218.0, 6.02870813397129, 2951204.0, 0.0, 0.0]
Data: [190.0, 5.580568720379145, 3518872.0, 3.0, 0.0]
Data: [208.0, 6.931949250288355, 4083908.0, 0.0, 0.0]
Data: [218.0, 6.305418719211825, 3047648.0, 3.0, 0.0]
Data: [199.0, 10.0, 3199540.0, 30.0, 0.0]
Data: [218.0, 0.9788867562380041, 2959756.0, 0.0, 0.0]
Data: [152.0, 6.381660470879802, 4010532.0, 3.0, 0.0]
Data: [218.0, 6.050724637681163, 4591760.0, 4.0, 0.0]
Data: [208.0, 6.639534883720931, 5136396.0, 8.0, 0.0]
Data: [218.0, 6.970443349753694, 5298356.0, 0.0, 0.0]
Data: [208.0, 2.7508090614886758, 4196728.0, 22.0, 0.0]
Data: [182.0, 7.751710654936463, 3379764.0, 0.0, 0.0]
Data: [218.0, 10.0, 3654664.0, 12.0, 0.0]
Data: [218.0, 0.0, 2738624.0, 0.0, 0.0]
Data: [139.0, 2.84109149277689, 2811084.0, 23.0, 0.0]
Data: [182.0, 10.0, 2861672.0, 0.0, 36.0]
Data: [218.0, 8.307030129124819, 3282224.0, 10.0, 0.0]
Data: [218.0, 9.430232558139531, 2976648.0, 4.0, 0.0]
Data: [218.0, 9.03141361256545, 2976624.0, 8.0, 0.0]
Data: [208.0, 5.747836835599505, 3551120.0, 0.0, 0.0]
Data: [218.0, 7.1907514450867005, 4105212.0, 3.0, 0.0]
Data: [218.0, 1.974842767295596, 2954484.0, 0.0, 0.0]
Data: [182.0, 10.0, 3198268.0, 5.0, 0.0]
Data: [218.0, 0.6439393939393944, 2939048.0, 28.0, 0.0]
Data: [152.0, 5.877080665813057, 3967448.0, 3.0, 0.0]
Data: [218.0, 6.264744429882044, 4545252.0, 0.0, 0.0]
Data: [208.0, 7.490196078431369, 5076380.0, 3.0, 0.0]
Data: [218.0, 8.44240837696335, 5583168.0, 4.0, 0.0]
Data: [218.0, 4.497206703910618, 4540604.0, 8.0, 0.0]
Data: [199.0, 7.8326612903225845, 3443252.0, 0.0, 0.0]
Data: [218.0, 10.0, 3675304.0, 11.0, 0.0]
Data: [218.0, 0.0, 2738632.0, 0.0, 0.0]
Data: [133.0, 3.689839572192513, 2882312.0, 21.0, 0.0]
Data: [182.0, 10.0, 2859904.0, 0.0, 0.0]
Data: [218.0, 6.782246879334261, 3224192.0, 5.0, 0.0]
Data: [208.0, 3.6222222222222245, 2910440.0, 21.0, 36.0]
Data: [199.0, 10.0, 2972916.0, 3.0, 0.0]
Data: [218.0, 6.306306306306304, 3361104.0, 4.0, 0.0]
Data: [208.0, 7.2215422276621775, 3955172.0, 8.0, 0.0]
Data: [218.0, 3.0025445292620914, 3479468.0, 0.0, 0.0]
Data: [182.0, 10.0, 3199428.0, 3.0, 0.0]
Data: [218.0, 0.6335403726708076, 2820008.0, 0.0, 0.0]
Data: [152.0, 5.269841269841265, 3784184.0, 3.0, 0.0]
Data: [208.0, 5.670731707317076, 4350572.0, 0.0, 0.0]
Data: [208.0, 5.865853658536584, 4887172.0, 3.0, 0.0]
Data: [208.0, 6.6990291262135955, 5384272.0, 0.0, 0.0]
Data: [208.0, 5.185643564356431, 4727620.0, 3.0, 0.0]
Data: [208.0, 3.676939426142398, 3214340.0, 1.0, 0.0]
Data: [199.0, 10.0, 3663592.0, 7.0, 0.0]
Data: [218.0, 0.08474576271186449, 2738076.0, 11.0, 0.0]
Data: [146.0, 0.0, 2729832.0, 25807.0, 0.0]
Data: [139.0, 0.2371134020618559, 2513668.0, 42929.0, 0.0]
Data: [139.0, 0.48707753479125254, 2978984.0, 52673.0, 0.0]
Data: [152.0, 0.0, 3575640.0, 77570.0, 0.0]
Data: [139.0, 0.33268101761252444, 3944664.0, 77443.0, 0.0]
Data: [146.0, 0.20742358078602618, 4377176.0, 71937.0, 36.0]
Data: [146.0, 0.0, 4388312.0, 77440.0, 0.0]
Data: [133.0, 0.7267441860465117, 4388004.0, 77568.0, 0.0]
Data: [152.0, 0.617433414043583, 4388128.0, 22527.0, 0.0]
Data: [152.0, 0.0, 4361080.0, 0.0, 0.0]
Data: [139.0, 0.735294117647059, 4360220.0, 46.0, 0.0]
Data: [146.0, 0.75780089153046, 4358460.0, 1.0, 0.0]
Data: [146.0, 0.7380607814761219, 4358212.0, 6.0, 0.0]
Data: [146.0, 0.7547169811320751, 4358212.0, 5.0, 0.0]
Data: [146.0, 0.0, 4357164.0, 0.0, 0.0]
Data: [133.0, 0.5815279361459523, 4356848.0, 11.0, 0.0]
Data: [146.0, 0.5775764439411097, 4356848.0, 0.0, 0.0]
Data: [146.0, 0.5795454545454547, 4356724.0, 4.0, 0.0]
Data: [146.0, 0.5820721769499416, 4356840.0, 0.0, 0.0]
Data: [146.0, 0.6546854942233631, 4356716.0, 4.0, 0.0]
Data: [146.0, 0.5668934240362816, 4356724.0, 4.0, 0.0]
Data: [146.0, 0.6095979247730219, 4355684.0, 20.0, 0.0]
Data: [139.0, 0.6649616368286446, 4355864.0, 15.0, 0.0]
Data: [146.0, 0.7193229901269396, 4355856.0, 0.0, 0.0]
Data: [146.0, 0.6538461538461535, 4355740.0, 5.0, 0.0]
Data: [146.0, 0.712290502793296, 4355732.0, 8.0, 36.0]
Data: [146.0, 0.6546854942233638, 4355740.0, 0.0, 0.0]
Data: [146.0, 0.7092198581560285, 4355740.0, 4.0, 0.0]
Data: [146.0, 0.6572164948453603, 4355724.0, 0.0, 0.0]
Data: [146.0, 0.0, 4354800.0, 4.0, 0.0]
Data: [139.0, 0.8245877061469266, 4355988.0, 11.0, 0.0]
Data: [146.0, 0.845528455284553, 4356104.0, 0.0, 0.0]
Data: [146.0, 0.7238605898123327, 4356104.0, 4.0, 0.0]
